Nazwa zbioru,Rozdzielczość,Model,l. parametrów,MSE,PSNR,SSIM,Czas (ms)
mnist,28x28,Cnn,934081,4.728341950734456,22.972124034302947,0.9338792392520161,0.4443188781806384
mnist,28x28,Kan linear,2408448,1.5829454876581828,27.596035476423808,0.9256424842875612,1.0890393280533317
mnist,28x28,Kan bezier,2408448,4.690262953440349,22.906672715210657,0.8738782764052775,5.240960159426322
mnist,28x28,Kan catmull,2408448,2.1863134835561118,26.22746496094083,0.915996978556046,4.436552343668154
mnist,28x28,Kan bspline,2408448,4.573370323181153,23.062918310992323,0.8762752273595937,4.148755209371302
mnist,28x28,fastkan,3615808,1.6060052045186362,28.050966966553336,0.9429956432775248,0.030848827918816824
cifar16,16x16,Cnn,563137,3.1331635471343993,19.854293686021325,0.5864672174634981,0.1322102874837583
cifar16,16x16,Kan linear,786432,0.34961462512016295,29.258421585792156,0.9653031343541492,0.3345572904436267
cifar16,16x16,Kan bezier,786432,1.3796890392303467,23.32258948293744,0.8508839417459967,1.0933138000837062
cifar16,16x16,Kan catmull,786432,0.7274403681755066,26.046309655612063,0.9311547586192653,1.259779818883544
cifar16,16x16,Kan bspline,786432,1.3666354778289795,23.372558676074668,0.8497850097661549,1.372237762552686
cifar16,16x16,fastkan,1181200,0.4364437273979187,28.250913877765587,0.9540896484719672,0.01249596261914121
large,64x64,Cnn,2582017,104.58330029296874,16.52439868264256,0.26059947791547183,2.6859833249545773
large,64x64,Kan linear,12582912,84.38179833984375,17.399532057904125,0.275391911341658,9.22230389996912
large,64x64,Kan bezier,12582912,95.53677416992187,16.837798261280838,0.24904475611434834,22.195074343653687
large,64x64,Kan catmull,12582912,96.67859399414063,16.778816171394503,0.2507148937702606,29.816858462345408
large,64x64,Kan bspline,12582912,97.34236987304688,16.780213610244076,0.2437252200466099,29.889673697016406
large,64x64,fastkan,18887440,80.17317602539063,17.489515225785844,0.2789374776785191,0.13742213750447263
shapes,32x32,Cnn,1180801,100.28705169677734,11.434146752960194,0.09631681288116117,0.6560510406416142
shapes,32x32,Kan linear,3145728,26.349744338989257,16.031395589877878,0.38505552989010206,1.430888681079523
shapes,32x32,Kan bezier,3145728,43.85682022094726,14.172234875850684,0.21841832989537463,5.540124346407538
shapes,32x32,Kan catmull,3145728,32.61595916748047,15.242497769006834,0.28902913418017273,5.842861309338332
shapes,32x32,Kan bspline,3145728,43.409017639160155,14.196895591056089,0.20579604649743585,6.664341284522379
shapes,32x32,fastkan,4722448,21.122390747070312,17.239068103759646,0.6489590609242546,0.10898593491219799
